T0_CT_A01	T0_CT_A03	T0_CT_A05	T0_CT_A06	T0_CT_A07	T0_CT_A08	T0_CT_A10	T0_CT_A11	T0_CT_B01	T0_CT_B03	T0_CT_B05	T0_CT_B07	T0_CT_B08	T0_CT_B09	T0_CT_C02	T0_CT_C03	T0_CT_C05	T0_CT_C06	T0_CT_C07	T0_CT_C08	T0_CT_C09	T0_CT_C11	T0_CT_C12	T0_CT_D01	T0_CT_D02	T0_CT_D03	T0_CT_D05	T0_CT_D06	T0_CT_D07	T0_CT_D08	T0_CT_D09	T0_CT_D11	T0_CT_D12	T0_CT_E01	T0_CT_E03	T0_CT_E04	T0_CT_E05	T0_CT_E06	T0_CT_E07	T0_CT_E08	T0_CT_E09	T0_CT_E10	T0_CT_E11	T0_CT_E12	T0_CT_F01	T0_CT_F02	T0_CT_F03	T0_CT_F04	T0_CT_F05	T0_CT_F06	T0_CT_F07	T0_CT_F09	T0_CT_F11	T0_CT_F12	T0_CT_G01	T0_CT_G02	T0_CT_G03	T0_CT_G04	T0_CT_G07	T0_CT_G08	T0_CT_G09	T0_CT_G11	T0_CT_H01	T0_CT_H02	T0_CT_H04	T0_CT_H05	T0_CT_H08	T0_CT_H09	T0_CT_H12	T24_CT_A01	T24_CT_A03	T24_CT_A04	T24_CT_A05	T24_CT_A07	T24_CT_A08	T24_CT_A09	T24_CT_A10	T24_CT_B01	T24_CT_B02	T24_CT_B03	T24_CT_B05	T24_CT_B06	T24_CT_B07	T24_CT_B08	T24_CT_B09	T24_CT_B11	T24_CT_C01	T24_CT_C02	T24_CT_C03	T24_CT_C05	T24_CT_C07	T24_CT_C08	T24_CT_C09	T24_CT_C10	T24_CT_C11	T24_CT_C12	T24_CT_D01	T24_CT_D02	T24_CT_D03	T24_CT_D04	T24_CT_D05	T24_CT_D06	T24_CT_D07	T24_CT_D08	T24_CT_D09	T24_CT_D10	T24_CT_D11	T24_CT_E01	T24_CT_E02	T24_CT_E04	T24_CT_E05	T24_CT_E07	T24_CT_E09	T24_CT_E11	T24_CT_E12	T24_CT_F01	T24_CT_F02	T24_CT_F03	T24_CT_F04	T24_CT_F05	T24_CT_F07	T24_CT_F08	T24_CT_F09	T24_CT_F10	T24_CT_F11	T24_CT_F12	T24_CT_G01	T24_CT_G02	T24_CT_G03	T24_CT_G04	T24_CT_G05	T24_CT_G06	T24_CT_G08	T24_CT_G10	T24_CT_G11	T24_CT_G12	T24_CT_H01	T24_CT_H02	T24_CT_H03	T24_CT_H05	T24_CT_H07	T24_CT_H09	T24_CT_H12	T48_CT_A01	T48_CT_A02	T48_CT_A03	T48_CT_A04	T48_CT_A05	T48_CT_A06	T48_CT_A07	T48_CT_A08	T48_CT_A09	T48_CT_A10	T48_CT_A11	T48_CT_A12	T48_CT_B01	T48_CT_B02	T48_CT_B03	T48_CT_B04	T48_CT_B06	T48_CT_B08	T48_CT_B10	T48_CT_B11	T48_CT_B12	T48_CT_C01	T48_CT_C02	T48_CT_C03	T48_CT_C04	T48_CT_C05	T48_CT_C06	T48_CT_C07	T48_CT_C09	T48_CT_C10	T48_CT_C11	T48_CT_D01	T48_CT_D02	T48_CT_D03	T48_CT_D04	T48_CT_D06	T48_CT_D07	T48_CT_D08	T48_CT_D09	T48_CT_D10	T48_CT_D11	T48_CT_D12	T48_CT_E01	T48_CT_E02	T48_CT_E03	T48_CT_E04	T48_CT_E05	T48_CT_E06	T48_CT_E07	T48_CT_E08	T48_CT_E10	T48_CT_E11	T48_CT_E12	T48_CT_F01	T48_CT_F02	T48_CT_F03	T48_CT_F05	T48_CT_F07	T48_CT_F09	T48_CT_F10	T48_CT_F11	T48_CT_G01	T48_CT_G02	T48_CT_G03	T48_CT_G07	T48_CT_G08	T48_CT_G09	T48_CT_G10	T48_CT_G11	T48_CT_G12	T48_CT_H01	T48_CT_H02	T48_CT_H04	T48_CT_H05	T48_CT_H06	T48_CT_H07	T48_CT_H08	T48_CT_H11	T48_CT_H12	T72_CT_A01	T72_CT_A05	T72_CT_A08	T72_CT_A09	T72_CT_A11	T72_CT_B01	T72_CT_B02	T72_CT_B03	T72_CT_B04	T72_CT_B05	T72_CT_B06	T72_CT_B08	T72_CT_B09	T72_CT_B11	T72_CT_B12	T72_CT_C04	T72_CT_C06	T72_CT_C07	T72_CT_C09	T72_CT_C11	T72_CT_D01	T72_CT_D03	T72_CT_D04	T72_CT_D05	T72_CT_D07	T72_CT_D10	T72_CT_D11	T72_CT_E04	T72_CT_E05	T72_CT_E07	T72_CT_F01	T72_CT_F05	T72_CT_F07	T72_CT_F10	T72_CT_F11	T72_CT_G03	T72_CT_G04	T72_CT_G06	T72_CT_G08	T72_CT_G10	T72_CT_G11	T72_CT_H01	T72_CT_H03	T72_CT_H05	T72_CT_H08	T72_CT_H09	T72_CT_H10	T72_CT_H11	T72_CT_H12
UBB	245.923	501.023	756.875	514.72	576.437	559.469	496.135	975.007	346.711	332.546	769.417	514.948	350.989	929.333	401.957	608.681	621.933	246.075	630.031	584.531	262.198	543.904	331.22	532.318	650.523	664.123	587.743	837.386	818.067	690.366	930.246	439.129	629.855	784.001	730.824	168.389	1074.53	601.322	588.013	1002.04	329.574	181.05	338.362	417.565	1023.58	528.247	816.616	495.857	679.613	481.515	379.047	613.277	771.56	814.269	432.891	586.492	324.763	409.217	516.699	443.241	771.634	603.827	1334.69	285.911	596.512	540.014	953.824	330.968	528.876	1208.22	545.872	740.968	1326.42	376.975	1429.3	1131.51	861.174	1203.95	626.526	868.814	396.779	941.708	1130.04	1254.54	1289.73	965.736	877.361	624.828	1166.07	824.393	612.352	975.429	557.476	1044.36	415.654	445.748	740.991	1151.85	622.836	896.147	665.129	914.693	1264.06	1029.62	560.982	280.613	307.294	1208.1	1007.31	733.158	488.563	1186.51	1632.43	1072.63	611.873	388.402	687.763	1013.49	999.311	1224	2036.3	1401.48	337.428	1140.66	1163.47	458.107	532.027	1107.26	706.457	438.114	262.088	1150.5	349.485	731.179	923.862	1134.82	834.028	816.923	1041.28	643.668	612.838	478.419	903.627	670.219	544.392	619.469	662.813	1005.24	766.956	551.379	547.009	780.924	478.512	550.683	873.259	561.69	595.876	824.152	1122.12	335.089	1000.61	594.219	885.104	769.005	260.804	1387.77	976.726	893.715	552.27	929.565	1003.84	849.385	784.47	1150.14	860.625	925.148	823.855	676.942	907.065	1360.92	773.954	1331.21	767.046	545.538	1090.77	419.771	602.885	1099.5	1012.05	626.261	1586.87	964.594	631.758	1089.96	515.162	690.261	1001.8	850.14	1278.53	606.643	769.352	673.896	430.431	1882.41	956.113	614.703	886.564	288.67	1194.35	910.668	1138.15	918.737	676.918	963.33	752.14	1794.41	352.866	824.046	1442.3	1375.7	962.406	897.093	786.987	863.575	878.541	706.609	204.712	559.982	1259.83	626.585	965.122	659.458	895.318	683.368	491.729	872.424	642.013	809.954	815.435	698.837	1066.05	1102.5	488.558	564.48	558.327	375.044	719.371	822.552	756.883	684.519	843.494	252.417	683.357	357.436	578.062	646.047	689.525	553.679	663.602	605.82	876.736	648.159	664.852	244.384	405.245	472.937	462.75	747.966	685.816	491.627	682.103
FOS	0.958664	2.24332	0.254615	0.447692	0	0	6.13336	0.230086	0	7.59417	25.3037	0	43.8864	0.479518	0	29.7755	24.4138	1.09686	55.5159	0	0	0	1.27444	20.4215	67.7003	0	16.7525	0	23.1297	67.4648	49.3233	19.5801	24.8017	48.8691	177.295	27.3328	204.791	140.288	0	0	0.55244	0.0547081	125.592	123.264	78.4567	0	17.6838	3.90691	0.149959	5.47094	14.6133	0.45343	8.84634	125.393	0	30.579	28.5913	0.315616	0	0.434703	0.589299	13.5119	159.684	0	8.39691	1.58378	0	0	39.6142	97.2686	444.205	247.557	2.90918	104.266	199.228	0	107.271	221.746	69.6141	431.511	239.51	592.184	0	225.095	2.84805	0.996143	179.284	354.528	0	220.806	484.868	116.221	700.543	208.289	40.1617	305.707	447.928	325.038	264.858	81.7819	344.322	0	332.334	87.4502	104.682	67.6546	31.7685	31.8036	0.625545	83.3718	212.687	416.987	497.6	1.94298	326.135	138.941	207.687	18.5644	70.3749	128.9	188.711	0	144.591	78.2876	21.7081	90.2272	50.6916	0	0.706307	51.8138	1.87561	308.023	179.205	166.703	1.49004	39.6105	0	38.8297	7.52254	199.069	207.881	51.0475	35.171	73.3354	221.486	0.476766	0.766751	99.2006	0	201.961	38.7808	351.828	90.453	187.161	0.380387	604.848	323.559	0.263084	68.6634	0.871054	13.4533	41.6272	2.13925	155.675	297.348	0.511434	973.186	0.178121	48.9174	236.488	232.383	70.5227	109.205	28.9318	334.104	169.523	119.657	20.3622	33.2039	0	0	79.1939	8.331	28.5293	176.865	124.551	28.6335	110.704	16.8271	429.658	0.738304	0.702441	141.702	49.1915	204.93	0.584864	97.6194	48.64	24.2364	61.6091	0.177666	366.403	610.082	36.8565	0.379211	129.306	253.566	123.979	1040.53	70.7117	0.854055	178.103	2.25027	0.791822	130.771	0.130735	627.536	421.417	67.2187	54.1429	142.005	0	248.648	109.448	39.9311	246.537	82.7835	55.9164	3.4158	58.9255	40.7717	224.41	27.9995	186.823	0.206918	153.597	127.115	536.997	92.0927	46.1044	211.721	64.7091	51.2007	179.652	142.486	74.1439	264.934	223.048	119.254	31.4975	245.518	102.214	163.787	79.4916	40.2156	70.9368	51.76	0	15.542	78.7155	215.747	237.684	62.2411	352.782	516.079	9.73915	123.322	29.5224	174.38	113.967	206.142
METTL7B	7.68827	102.198	5.42135	101.262	323.449	1.52427	13.9541	0.147211	1.37086	30.4584	124.31	148.655	8.57823	73.657	2.13652	35.3188	0.369043	0	135.073	31.4997	0.225074	0.348191	334.471	145.97	130.746	0	0.358157	0	57.5451	41.3719	0	0	51.3175	5.22946	7.22176	0	12.6871	12.9814	18.477	0	19.3901	37.4938	0.166658	1.99292	53.4027	31.4809	131.712	228.021	0.245925	10.892	12.541	278.088	87.3949	20.4253	74.5164	0.371603	60.9719	0.258722	46.9322	0.178464	0.58463	68.2369	54.2952	24.0144	0.183292	24.1944	8.74732	0.504812	213.211	107.962	0	44.3099	107.358	0	0	0.569556	0	22.3563	43.7682	0	0.375883	0	0	43.9069	0	122.738	0	0.123645	0	0	0	14.5715	0	55.2481	0	0	0	0	37.0868	0	8.19999	86.7038	0	0.264677	0.770786	32.1607	0	1.91435	96.4289	0	0	0	0	0	0	0	131.279	0	1.6642	0	0	317.597	0	0	0.508723	0	63.4679	0	0	62.1606	0	1.78139	59.1428	0	0	171.781	50.9214	111.552	143.246	0.647073	0	0	17.4603	0	0	0	0	0	0	52.1397	0	0	0	0	28.0709	0	0.511202	0.400813	0	1.24709	0	0	0	0	0	0	0.437693	123.827	0	0	0.78695	0	0.811735	0	0	1.4103	24.0385	1.42724	0	0.908405	0	0	0	0	0	0	0.821776	0	0	0	0	0	0	0	0	0	0	71.7491	0	0	0	0.604464	0	0	99.7355	0	0	0	0	0	0	0.403573	0.227685	0	0	0	0	0	0.551088	0	0.896533	0.544613	0	0	0	0	0	0	0.213214	0	0	136.429	103.544	0	0	0	0	0	0	0	0	12.3875	0	4.52726	0	0	0	0	0	28.6467	0	0	0	0	33.5031	0.862934	0	0	0	0	10.7083	0	0	0	0	0	0	0	0	0	0
STAT2	38.3284	23.7173	9.29768	40.2194	63.905	76.1359	23.3118	0.0309946	39.0547	4.68579	12.7422	76.3953	15.6566	30.6422	14.3344	52.1022	16.3781	45.4292	18.18	28.3574	1.37329	52.6193	31.9702	39.7779	34.6495	15.0481	345.42	0.0912865	40.2457	12.5604	19.8403	44.3421	0.116759	8.00031	95.7707	45.8984	207.713	14.3683	16.6887	18.704	14.1265	6.12992	7.88354	26.0896	6.39994	28.406	13.1752	26.4989	23.1187	25.1723	145.036	30.059	6.45986	15.1067	2.49406	67.7257	55.451	3.53675	13.218	8.46597	231.794	46.4105	118.019	47.1957	15.3762	113.681	136.281	191.716	54.7006	42.565	77.0206	17.5199	95.7665	134.671	81.831	5.16793	212.544	215.041	145.731	261.075	271.594	96.974	57.4255	56.5544	144.097	0.289443	75.1934	201.629	198.679	116.526	193.937	130.78	16.5977	185.032	167.654	149.697	40.2095	151.376	66.0983	154.877	109.133	89.8043	125.653	44.7797	73.4213	99.179	116.445	286.999	110.852	43.4896	93.6253	447.109	65.8659	173.009	83.8278	182.095	101.145	251.262	626.391	339.863	83.6237	281.095	76.331	64.3962	280.289	239.482	65.7463	107.682	8.87151	186.886	78.112	169.084	25.5792	113.655	40.4969	61.8714	86.9323	95.9611	167.449	160.422	36.1294	103.332	49.3648	26.7931	154.814	39.9752	43.5827	124.343	3.54445	28.6359	86.3005	282.862	44.1991	62.0766	121.157	132.749	183.335	145.581	124.748	84.3142	241.767	43.707	57.481	448.176	148.407	0.0527654	270.851	77.0318	227.98	192.799	439.569	81.8412	147.403	53.7148	102.382	425.27	93.5899	130.14	18.1284	148.949	41.0795	451.074	641.905	58.4249	82.4073	100.452	285.807	198.058	251.414	104.774	8.29964	171.25	86.4646	88.0859	200.927	19.7854	119.362	158.157	152.149	71.1534	254.122	160.715	200.328	349.213	53.9937	72.7348	82.3411	24.4259	235.113	520.051	65.4326	248.978	35.891	146.316	168.204	69.0328	109.653	74.3309	1217.89	86.9896	197.898	38.979	39.521	43.8106	228.402	72.4944	126.612	24.4459	125.833	102.386	139.905	177.615	309.94	18.1309	0.131747	242.744	79.6947	31.644	77.9133	19.9909	108.164	84.3694	37.9668	63.9219	61.4998	70.7166	36.0812	176.987	103.305	95.2924	4.27218	11.2596	222.327	35.115	142.939	90.8371	75.1428	109.487	8.76408	39.535	53.7375	61.8285	152.169	54.3491	45.0043	10.2477	51.6219	47.1584	192.449	199.516	105.962
HAS2	11.6159	54.8719	151.362	79.1879	55.3335	5.54834	31.7576	0.0955187	9.30356	14.9794	61.8659	159.674	0.263298	25.0492	4.64102	31.9441	2.17623	9.35782	53.5138	216.277	0.802563	35.9989	5.42622	39.293	45.9724	12.2587	143.739	1.96358	51.1949	4.03673	65.3777	0.137735	25.4539	3.44751	19.8395	27.5887	0.540661	67.2349	1.81392	10.1413	12.7488	0	3.13584	67.2204	4.44408	7.01854	23.6082	261.347	42.8154	28.5478	0.198803	3.58061	23.1545	278.079	66.3037	121.073	22.9617	17.7872	1.07253	39.6866	0.280255	32.2887	12.7926	42.572	44.8784	97.9621	48.3079	15.3724	87.181	380.564	0.447526	0.10151	147.584	14.7041	252.171	22.0044	3.64983	126.475	0.0843109	0.144391	4.19329	0	131.479	3.89158	211.101	66.5489	274.784	0.31776	1.66521	0.0732388	4.15526	0	0.21662	165.985	46.3016	0.41833	0	17.3243	0.0954679	58.7685	0	220.244	2.76528	0	0.122635	1.56073	0	10.059	36.435	0	3.23073	0	0.113444	174.745	0	0	0.0747053	1.65218	0	6.92405	0.346613	0.360533	0.663302	0.433761	0	4.13739	0.112453	39.7039	309.129	18.692	0.598617	17.6856	133.392	0.666246	0	40.9444	0	314.284	12.0654	16.682	12.472	123.64	171.832	0	0.182602	0	0	22.1907	65.5034	0.293224	3.81745	0.19026	1.70468	0.192945	0.198742	0	0.48838	25.2803	58.4899	0.0992053	4.63627	0	0	3.35518	0.298844	2.39367	39.5828	72.7884	55.1286	17.4626	0	8.23617	0	0	0	209.768	32.1079	1.52223	0	0	98.409	0.166858	1.39175	11.527	0	0	0	46.196	0	0	2.12651	4.36423	0.0979077	0.811416	23.1266	0.3118	0.069029	0	45.2658	25.7532	28.4691	3.64126	630.39	0.801011	136.386	0	0	0.488266	0	7.14646	282.826	0	0.435531	0.0771783	245.548	0	0	0	0	0	0	19.9047	0.389171	4.48907	26.4684	17.1643	0	21.7552	3.21529	10.9527	0	1.23318	2.44271	29.8988	0	0	2.05893	0	81.0328	78.5809	0	24.8362	0	7.00122	0	0	63.3738	41.7966	0	42.3062	0.987986	0	0	0.257826	0	0	6.8131	36.6476	29.4944	0.0861263	2.52014	0	0	0	0	162.829	0	299.328	0	0.314611	0
S1PR1	0.604229	0	16.798	26.7601	0	0.17901	27.9466	0.173778	7.63329	0.121201	6.72975	0	0	0	0	0	7.23381	0	0	0	0	25.1534	0.175178	35.8195	0	5.67274	0	0	0	0	0	8.05951	0.133056	11.4987	1.02276	0	0	17.4962	0	0	42.2085	0	61.2289	0	2.33334	23.4925	0	36.8542	0.290263	13.2442	1.62217	0	0.66862	0	0.270621	0	0.586426	0	0	0.929963	0	26.065	0	0	0	1.38385	20.9257	3.66197	0	0	0	0	0	0	0	4.83171	0	0	3.1477	0	0	6.5423	0	0	0	0	0	0	0	0	2.77308	0	0	0	0	60.5177	0	0	0	0	0	0	0	0	0	0.764194	0	0	0	0	0	0	0.672894	0	0	0	0	0	0	0	0	0	0	0	11.2282	0	4.57725	0.24437	0	0	0	0	0	0	0	47.8111	0	0	0	0	0	0	3.8992	0	59.2829	0	0	8.50221	0	0	0	0	0	0	0	0	0	0	2.20316	0	0	0	0	0	0	0	0	0.127718	0	0	0	0	0	0	0	0	0.51129	30.3411	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269901	0	5.85631	0	34.5579	0	0	0	29.9663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64661	0	0	0	0	0	0	0	16.7695	2.02223	0	11.7518	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FEZ2	45.5082	4.08633	32.4633	41.4866	84.4451	37.1074	32.6922	0	22.3356	31.8777	25.8436	40.558	9.96862	3.46275	58.3436	17.1772	0.905996	68.74	104.395	38.1097	380.463	13.7844	104.234	36.5402	19.6343	21.6221	213.6	0	21.7965	20.8438	20.4726	17.0161	95.1001	8.4526	38.7432	40.1163	12.4742	49.9115	0	52.6243	0.791961	1.62434	28.6061	0	5.17587	53.1717	10.8421	63.1239	53.4383	54.9456	2.12596	0.475198	30.5579	14.3393	4.23941	4.9082	48.254	0.212006	24.8195	16.8421	2.3981	49.5164	3.7251	34.4293	0	15.2498	42.7693	89.2828	70.1926	1.1095	0	0	0	36.9073	9.91087	0.9322	83.5556	0	141.064	1.87611	60.09	0	61.4152	0.651108	40.3325	0	0.787146	0.914174	0	1.32386	17.1642	20.9151	62.7617	24.5689	9.64913	0	4.38527	0	49.1986	0	71.323	17.5903	0	0.740491	0	53.9614	12.093	0	28.0835	0	29.3176	26.8514	30.6733	39.8415	0	18.657	0	2.32306	0	37.176	0	64.41	3.471	18.6742	0	46.4182	29.0297	0	97.0149	44.5888	0.697736	43.5808	0	0	0	38.5357	1.47251	0	23.9777	0.90815	4.66872	1.66399	52.9132	0	0	0	0.477058	0	1.21258	0.816382	1.30403	58.8496	0	0	0	27.6177	0.418945	0	0	0	36.4201	34.3	15.679	0	32.3853	0.298042	2.45405	4.45271	0	0	0.643293	3.97255	60.1741	0	3.26987	16.8329	85.2101	0	17.0074	0	32.3078	32.9774	0	28.3138	26.6209	48.9939	0.336385	0.635428	30.1494	0	0	0	7.93481	5.27637	75.4772	12.6467	0	0	27.4401	0.0703039	27.2684	4.16271	0	101.888	57.386	64.3538	38.8468	0.758179	79.872	0.711706	1.57461	3.63691	0	0.198465	6.6075	0	1.1921	0.306318	0	11.29	18.9618	0	0	25.7554	47.5341	20.3607	5.52617	1.88381	11.1448	28.3757	174.812	8.1239	0	0	3.49541	0	0	0	56.7546	44.984	10.3234	0	13.5675	56.6691	2.34901	2.50253	5.34256	15.6302	8.76375	6.53559	0	0	2.38686	5.29096	0	4.21	0.235557	16.6565	53.2528	0	2.70999	32.6457	0	4.66216	1.42881	27.2292	0.102172	21.8412	0	7.88477	8.99362
SHCBP1	4.62716	25.4331	17.2299	0	69.1665	0.388568	69.8731	265.565	0	11.9472	0.24785	9.96633	13.1455	16.9376	22.2298	0	0	0	6.07986	21.9407	0	0	6.37536	22.8785	2.9682	21.1494	0	0	0	8.33226	0.121459	0.21292	27.5181	23.9018	0	0.079119	0.110538	24.5262	0.153528	32.8855	0.258643	37.2015	39.8457	11.1758	11.8381	18.9203	19.7123	27.205	0.336484	14.9303	0	0	0	0	5.71083	0	22.7531	7.88392	33.3875	1.81921	0.802189	0.0902408	0	0	0	0	0	0	0	0	0	0	7.95416	0	0	0	0	0	0	0	0	0	0	0	0	13.7859	0	0	0	0	0	0	0	0	0	0	0	6.9432	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75577	0	0	0	0	0	0	0	0	0	0	0	0	0	76.1849	0	0	0	0	0	0	0	0	0	0	68.0525	0	0	0	0	0	0	0	0	0	0	0	0	99.862	0	0	0	1.98968	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105727	0	0	0	19.3706	0	0	0	0	0	0	0	0	0	0	0	24.5579	0	0	0	0	0	0	0	0	0.12023	0.249314	0	32.6244	0	0	0	0	0	0	0	0	0.121218	0.17493	0.132036	0.119932	0	0	71.0388	0	0.0890675	0	0	0	0	0	0	0	0	0	0	11.5259	0	0	0	0	0	0.077883	0	0	0	0	0	0	0	0	0	0	0	53.2384	0	0	0	0	15.0722	0	0	0	0	0.312501	0	0	0	0	13.1339	0	0	0	0	0.146994	0	0	0	21.9263	127.192	25.7766	0	0	0
RRM2	7.52692	91.2277	63.9493	3.6069	95.5921	1.48814	35.82	0	0	89.7463	0	0.168657	46.1626	142.219	98.51	0	0	0	47.0387	4.72796	1.81338	0	89.6624	11.5679	4.44012	105.604	1.42753	72.3259	1.06325	52.1079	0.258257	0.0897806	76.1868	90.5612	32.3803	0	0.234948	122.607	210.282	25.8376	18.6471	0	48.8341	2.21928	113.413	122.009	82.7504	96.9243	1.93604	76.2112	0.259471	0.706825	53.5557	145.505	73.2366	0.308735	58.8066	13.3204	38.0173	35.1565	2.40204	0.731018	0	0	9.00292	0.686575	6.74897	0.620486	52.7827	154.86	18.159	4.04587	29.6607	87.5054	0	6.21094	0	81.9701	0	0	1.45195	0	0	119.873	0	208.54	0	0	0.841525	0	0	0	1.07612	55.6371	0.597681	0	0	26.032	0	0	0	0	0.163979	0	0	0	0	0	1.00057	0	0	0	118.417	0	0	0	0	5.66184	0	0	146.259	0	0	72.1033	0	14.1887	0	0.214987	0	0	0	0	0	0	0.15671	0	208.832	0.151595	0	0	0	0	0	0	0	0	0	0	1.22124	208.326	0	0	0	0	0	57.3432	1.93908	1.21852	0	0	0.242104	0	0	0	0	0	0	0	0	0	0	3.27686	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191767	0	0	88.0933	0	0	0	0	0	0	19.8313	1.66841	0	0.283712	0	0	0	0	0.174189	0	0	0	0	0	0	162.35	0	0.189331	0	0	0	0	0	0.228323	0	0	0	0	0	0.2763	0	0	0	0.0907872	0	0	0	0	51.1623	0	0	0.140826	0	0	0	0	59.2805	0	0	0	0.31154	0.307762	0	0	0	0	0	0	0.0670475	0	0	12.2617	0.0915934	0	1.56106	0	0	0.176618	0	0	80.2212	120.863	24.2834	1.64091	1.14792	0.0962804
PTEN	16.2742	14.5059	19.7252	24.6487	62.0388	36.6771	24.1702	0.107688	19.458	9.26729	49.6578	60.2646	20.7358	12.7986	15.3854	24.2653	6.89103	38.7214	70.2382	31.1333	66.4974	50.0414	46.2695	59.0692	38.0604	19.4575	91.8767	30.1989	71.4604	57.9368	57.342	48.9366	38.3403	21.999	72.9198	81.4926	10.4432	45.4286	39.4879	29.0553	35.3052	0	11.6683	37.7699	17.9558	21.0416	40.4687	53.7409	38.1343	34.0034	34.2656	42.9017	5.80865	38.8239	17.2111	24.2204	20.7116	20.5081	20.0484	18.5766	145.736	66.2131	38.1653	20.1141	32.7654	61.5486	23.5778	15.4984	17.9204	17.1134	18.7184	60.3151	28.6857	49.529	44.5113	34.0284	28.0013	40.3389	71.6243	43.8583	73.8401	8.67775	67.92	18.8147	140.408	30.2549	187.135	72.4282	52.7428	54.628	122.802	60.2465	34.8194	123.697	135.079	92.9849	74.7143	94.6676	41.4342	187.68	35.1927	128.359	137.923	38.1242	86.3164	19.4499	77.0682	130.914	252.376	124.528	92.7569	41.475	44.7243	69.1814	42.001	72.9417	92.7016	72.6184	8.31849	52.6585	5.1305	101.331	150.078	68.6292	136.799	152.933	27.6773	153.199	200.793	86.4755	57.0616	63.5203	46.7226	88.6989	45.3256	83.931	31.2872	98.122	44.1748	48.1476	47.1411	62.7963	43.2507	67.1135	69.2415	17.0606	44.0762	102.489	32.599	49.2536	67.6659	48.7305	30.0395	64.1214	209.424	27.6853	114.775	10.6482	133.336	61.0708	158.532	17.2516	95.8187	352.96	44.1636	27.2143	41.7197	8.26921	43.1809	76.7005	248.895	140.559	166.947	79.2991	23.7487	241.499	238.976	20.1547	90.6242	63.552	182.701	72.532	365.074	31.0058	61.5496	77.4036	48.3765	156.381	156.444	27.9191	145.923	122.861	94.8854	151.021	265.569	42.1379	217.03	240.597	14.9078	16.4593	180.299	55.841	382.535	311.936	190.267	52.0222	118.112	83.0191	59.983	116.689	111.649	27.2238	44.6768	2.97952	58.604	59.4051	48.7162	46.5575	77.7638	71.2673	110.051	148.519	5.45186	34.8351	82.2586	25.385	71.7554	8.95446	52.7228	28.5816	144.128	59.3276	110.14	15.9912	14.6514	32.4515	72.5517	39.1818	123.426	102.71	73.1506	52.9692	15.7294	44.5173	25.6294	107.047	129.151	155.84	85.5967	42.5973	110.706	39.3767	37.3729	57.344	328.164	39.6995	68.9137	40.781	63.8368	29.4534	41.8171	59.2771	36.7753	17.4538	86.3943	51.1547	30.3242	53.7926	183.076	202.518	127.435
PPIH	70.0635	8.74228	0	4.23737	1.9106	0	0.749887	0	0	39.4218	2.42837	1.24671	71.405	3.6676	31.371	2.42351	0	0	0	0.781037	24.4458	0	53.4769	23.5583	8.27663	28.1363	117.233	0	0	76.2683	74.7537	0.646776	13.7305	2.25782	9.56425	0	6.53383	0	72.5704	45.4791	29.6209	5.10507	0	50.5469	81.2271	8.05098	50.0171	147.205	2.77255	30.612	47.6318	5.83611	0	104.117	2.18624	4.65749	0	24.6785	24.3049	45.1695	61.8189	0	0	10.3995	19.1996	2.14397	65.7252	1.67639	4.82723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.2489	0	0	0	18.3117	14.8554	0	0	0	0	0	0	0	6.62957	2.54672	0	11.2589	0	0	0	0	0	0	0	0	40.1506	4.47365	0	0	0	0	47.5824	0	0	17.1547	0	0	27.3615	0	0	0	0	0	0	1.23764	100.129	0	0	0	0	0	70.7913	0	0	0	0	0	0	0	3.47953	0	0	0	41.3728	0	0	13.2951	0	0	0	0	2.56354	0	0	0	90.9393	0	0	1.32372	0	0	0	0	0	1.48295	0	0	0	50.3404	0	0	18.5636	0.393527	0	0	0	142.098	0	22.1637	190.959	44.9496	0	5.92376	0	0	0	0	6.29505	0	113.225	81.3971	0	119.216	41.503	78.9163	0	6.88772	0	0	116.558	0	0.855504	0.787859	4.64921	2.22358	4.98444	132.036	0.56948	0	60.798	44.81	0	0	0	14.6547	38.3398	85.0445	82.9943	0	51.8386	13.0134	3.78933	2.10153	0	0	0	24.1711	0	41.5504	0	0	0	3.08333	0	1.29223	0	20.4215	0.671383	48.7482	6.32561	0	0	0	68.2935	1.48721	0	0	0	0	52.8625	32.0675	31.8128	2.05342	0	51.3927	3.38746	0.871074	29.6653	0	0	1.49943	57.0105	0	1.2723	0	0
